1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
5,01;5,03;5,12;5,14;5,33;5,60;5,90;10,00;7,00;6,40;6,20;6,10;6,00;5,82;5,80
5,90;6,00;6,15;6,35;6,60;6,88;7,10;10,00;7,20;6,85;6,60;6,38;6,15;6,14;6,07
6,00;6,03;6,20;6,32;6,55;6,80;7,00;7,20;7,20;7,00;6,80;6,65;6,50;6,38;6,20
6,30;6,24;6,40;6,60;6,75;6,90;7,00;7,30;7,22;7,10;7,00;6,80;6,65;6,55;6,45
6,22;6,23;6,40;6,51;6,63;6,76;6,86;6,89;6,87;6,80;6,68;6,57;6,46;6,37;6,30
6,08;6,12;6,20;6,29;6,39;6,53;6,57;6,63;6,60;6,55;6,45;6,38;6,30;6,24;6,17
5,98;6,01;6,08;6,13;6,19;6,30;6,37;6,35;6,36;6,30;6,27;6,22;6,14;6,05;6,00
5,77;5,85;5,87;5,93;5,99;6,07;6,01;6,12;6,10;6,05;6,03;5,97;5,92;5,89;5,84
5,65;5,64;5,67;5,72;5,76;5,80;5,83;5,87;5,84;5,82;5,77;5,74;5,70;5,64;5,63
5,41;5,43;5,45;5,47;5,50;5,56;5,60;5,68;5,67;5,65;5,61;5,56;5,53;5,47;5,46
5,16;5,22;5,24;5,27;5,33;5,40;5,57;5,75;5,68;5,44;5,38;5,35;5,29;5,27;5,23
4,94;5,00;5,01;5,02;5,03;5,06;5,40;5,70;5,57;5,40;5,19;5,13;5,10;5,08;5,06
4,66;4,70;4,75;4,88;4,90;4,96;4,98;4,93;4,85;4,87;4,86;4,85;4,82;4,83;4,80
4,55;4,82;4,53;4,49;4,51;4,53;4,51;4,19;4,40;4,55;4,60;4,59;4,60;4,58;4,55
4,24;4,22;4,26;4,28;4,31;4,30;4,28;4,17;4,16;4,18;4,21;4,25;4,24;4,26;4,25
3,99;4,00;3,97;4,00;4,00;3,95;3,96;3,96;3,98;3,97;3,99;4,00;4,01;4,00;4,03
3,78;3,76;3,70;3,72;3,74;3,75;3,76;3,79;3,76;3,75;3,75;3,80;3,82;3,81;3,83
3,57;3,59;3,57;3,59;3,57;3,59;3,59;3,60;3,58;3,58;3,59;3,62;3,60;3,63;3,62
3,38;3,39;3,39;3,36;3,38;3,33;3,35;3,34;3,35;3,34;3,34;3,33;3,37;3,39;3,38
3,17;3,14;3,14;3,12;3,09;3,11;3,12;3,14;3,09;3,08;3,09;3,11;3,12;3,09;3,12
2,92;2,93;2,90;2,91;2,90;2,88;2,84;2,86;2,83;2,84;2,88;2,84;2,88;2,89;2,88
2,80;2,73;2,69;2,70;2,69;2,69;2,70;2,71;2,77;2,69;2,67;2,70;2,71;2,74;2,77
2,55;2,52;2,50;2,46;2,47;2,47;2,49;2,50;2,50;2,46;2,47;2,45;2,44;2,49;2,53
2,26;2,26;2,27;2,21;2,24;2,27;2,29;2,29;2,27;2,28;2,23;2,22;2,23;2,22;2,23
;;;;;;;;;;;;;;
